academic.year,Business (MBA),Design,Divinity,Education,GSAS,Government,Law,Medical/Dental,Public Health (1-Year MPH)
1985,10422.28670608596,9460.7427620011,6272.994728684445,8893.515759139334,9599.858465717338,9363.349829625822,9141.582100274429,12551.2498636888,8375.496094904043
1986,10643.196695537545,10248.362766892276,6492.379589192959,9609.284314856355,10348.522140814206,9553.275831716086,9614.137814730992,13112.408465261728,8066.157239436816
1987,11808.797601121732,10879.384538389766,7035.103852394204,10209.760253253327,10872.8700116585,10034.107301496228,10439.964130483018,13197.229526794705,9935.61846688206
1988,13106.5225529098,11713.727963064955,7615.561852472405,10865.826296613668,11668.035789459984,11100.76843010914,11471.464518312674,14792.840277106876,10986.009178478807
1989,14215.925761545432,12379.91651661248,8082.215622381417,11529.672837778571,12369.440623121747,11739.141348629695,12416.146627163447,15780.151752823713,11660.30938936829
1990,15461.382546044131,13099.32591258718,8638.241291994076,12211.865043396783,13147.356778354142,12578.525810074803,13472.361668660826,16947.209907628137,12223.068389724824
1991,16349.3644305395,14246.776512300516,9203.34108175847,13096.803702251322,14021.452615506483,13637.06253336598,14355.786842160538,18148.61471128618,13482.78214092566
1992,17465.168447089003,15409.671163048357,9889.878345466412,13979.867514435917,15018.699146884946,14810.60256375638,15477.2926657387,19235.612210906434,14620.435932719416
1993,18610.52315190084,16320.827552428487,10459.600143312471,14822.90236453188,15857.00269657349,15698.248096729583,16562.365922970588,20230.33310879108,15575.516908895956
1994,19715.85024006769,17285.469346190577,11050.742784254731,15720.89053358842,16731.502489990504,16570.114262619136,17676.272685530414,21000.649157974447,16537.554432023782
1995,20995.29195284916,18196.70659371337,11640.635985466086,16604.175839275485,17578.768508715624,17544.520597035196,18858.1904037854,22202.33730133046,17538.03740586529
1996,22387.36151541865,19149.396370916034,12258.562772450385,17506.146685591513,18485.43968934627,18653.267699149703,20147.383304483734,23662.865112815227,18542.38606172624
1997,23625.35416822505,20226.102149492395,12927.821033756478,18510.89253816293,19458.417404379023,19666.26589329158,21448.439009093498,24385.98278674632,19664.771180467906
1998,24817.20366803108,21315.573681453632,13606.459711415911,19568.141065342526,20450.52869213323,20677.95330378704,22778.21378131065,24882.86099472319,20712.43213837999
1999,26167.841188397026,22255.067347829976,14252.926910444072,20590.91509365691,21249.10411829135,21636.611310552136,23987.879709215944,25909.09008492843,21886.940738457488
2000,26853.98759982913,23106.31782695817,14978.005878997996,21824.85328423512,21842.524319851327,22550.27786555992,24771.348170656383,26172.27441377005,22018.37863734881
2001,28848.606792719776,24334.172317786,15664.794725348873,22838.59124007738,23012.011621651127,23907.16467744641,26578.950260637776,28044.005776901457,23843.4741153098
2002,30708.467435922543,25599.498864017576,16449.87331687486,23905.922402884484,24282.801109709337,25330.956444193453,28494.162730455184,29265.52269071864,25635.639156376423
2003,32316.45602977796,26704.596750142904,17161.169965300895,25085.751700087407,25210.546769226097,26613.0429908478,29942.805491606872,30957.002858688007,26700.996943433933
2004,33832.8762999895,27940.20012750645,18053.247509618654,26409.40452776895,26194.05826301481,28170.16911760473,31392.02425241437,32303.40315578139,27916.173633127204
2005,35587.20654851568,29248.360827682744,18943.20604340896,27749.01024699745,27342.51941698069,29968.99629785796,33091.704437144595,34199.99550005615,28234.5049480617
2006,37473.56697971268,30643.6665712075,19927.6358138786,29100.098679341023,28596.77294599599,31792.249124012604,34940.40533597588,35783.10337008314,30710.279785120285
2007,39478.772321569166,31941.334089575965,20837.959171877228,30408.49833331096,30037.04647036751,33550.82341352472,36974.144581885805,37764.238391217456,35881.344348104234
2008,41969.90618538977,33616.67619945032,21538.54614818717,31829.82586955466,31662.658663287773,34904.44250435217,39428.63778359595,38334.58749705844,34150.07186357855
2009,43703.39691593029,34393.09811715868,22086.704183589347,32744.04179976772,32308.11036915049,35959.87930820436,41273.89432815793,39844.85423938334,35730.63773437367
2010,46013.011309247086,35870.33730752473,22674.5542754376,34142.66891323173,33425.55086431528,36941.247532998765,43108.47649926132,42690.54272822477,37558.22112706734
2011,48688.38620374704,37692.23081590387,23434.38454794804,35783.46261253238,34942.00788638508,38858.931792454496,45386.098366572136,45515.62355544349,37632.79364799216
2012,50755.05565634064,38907.36627790007,24152.8692560317,37072.21511467888,36086.89837934094,40045.71632891598,47485.22691001317,47197.970307575415,40852.05988533932
2013,53311.70611223392,40529.960504369694,24971.489839421003,38598.21150047534,37510.39197120279,41592.85117469438,49865.66960418117,49162.589161464544,44189.78483259132
2014,56347.78729306217,42412.12493411741,25516.21374004438,40233.57583257531,39148.869699109535,42911.207651779405,52482.34135210599,52023.419662827975,47885.90525452449
2015,58995.7986521393,43781.95561313258,26237.13026069587,41672.50576527576,40522.97607410923,44451.96073010742,54994.53650350317,54470.95251148172,51402.70664389638
2016,61046.97532764038,45243.0494007812,26928.628407707496,43186.37938112079,41769.89367682848,45689.64469561863,57178.8470918573,55768.40750483688,50069.00257310773
2017,63875.965710467804,46993.00227785959,27413.12121018678,44827.322954209,43325.36232852578,46891.62353788825,59760.24511605946,57986.071411681405,50644.509172390026
